id,startSec,endSec,narration,visualTarget,action,startFrame,endFrame,durationFrame
official_source_context,0.0,3.2,真正重要的是来源,cnninc_xinhua_full_view,show_full_source,0,96,96
official_pages_visible,3.2,8.42,镜头先把官方页面摆出来，让观众知道这是新华网和CNNIC报告,cnnic_report_and_xinhua_page,hold_source_identity,96,253,157
official_zoom_to_key_sentence,8.56,9.8,然后再推近到关键句,cnnic_short_video_sentence,zoom_to_focus,257,294,37
official_highlight_key_sentence,9.8,11.76,短视频用户已经超过十亿,short_video_users_1040_million,red_box_and_underline,294,353,59
platform_not_perfect,11.96,14.5,不是说AI视频已经完美了,platform_warning_card,show_caution,359,435,76
platform_tool_landscape,14.64,17.6,Sora、Veo、Runway这些官网,veo_runway_capcut_panels,reveal_platform_sources,439,528,89
platform_available_stage,17.6,20.4,视频生成进入了可用阶段,veo_runway_active_panels,focus_active_platform_panel,528,612,84
platform_control_problem,20.4,23.84,真正难的是稳定、可控、可复用,stable_control_reusable_card,show_conclusion_card,612,715,103
workflow_not_button,24.04,26.0,方向不是做一个按钮,director_system_card,show_director_system,721,780,59
workflow_research_script_voice,26.0,29.0,调研、脚本、声音,flow_nodes_0_to_2,reveal_flow_nodes,780,870,90
workflow_avatar_assets_packaging_qc,29.0,34.4,数字人、素材、包装和质检,flow_nodes_3_to_6,reveal_flow_nodes,870,1032,162
workflow_director_system,34.54,39.54,能反复生产视频的导演系统,cited_video_and_system_summary,switch_cited_clip_and_hold,1036,1186,150
system_source_capture,39.74,42.4,官网截图、报告页推近,capability_check_0_1,reveal_capability_checks,1192,1272,80
system_external_video_voice,42.4,44.8,外部视频素材拉取、本地训练声音,capability_check_2_4,reveal_capability_checks,1272,1344,72
system_product_demo,44.8,46.4,产品页面演示,studio_assets_zoom,product_zoom_lock,1344,1392,48
issue_asset_license,46.54,47.5,素材授权,issue_0,reveal_issue,1396,1425,29
issue_motion_realism,47.5,48.5,动作真实感,issue_1,reveal_issue,1425,1455,30
issue_long_rhythm,48.5,49.5,长视频节奏,issue_2,reveal_issue,1455,1485,30
issue_lip_sync,49.5,50.5,口型一致性,issue_3,reveal_issue,1485,1515,30
issue_review_gate,50.5,51.86,发布前审核,issue_4,reveal_issue,1515,1556,41
close_next_iteration,52.06,54.38,这才是下一版要继续打磨的地方,closing_summary,hold_next_iteration,1562,1631,69
